username,tweet
WORLDMUSICAWARD,Happy 35th Birthday to the very talented French rapper of Algerian descent #Lacrim! @Lacrim_Officiel https://www.facebook.com/worldmusicawards/photos/a.310614765686310/2910608182353609/?type=3&amp;theater
dan_coker,"19th April: Happy 35th Birthday to Valon Behrami. He scored five goals in 63 appearances for #WHUFC, making his debut in August 2008 &amp; playing his last game in January 2011. He's now at @GenoaCFC. Here's all of his Hammers goals #COYI"
mmabakwena2,@KAGlSO happy 35th birthday my baking mentor. Have yourself a blessed day
KizitoSab,Happy 35th birthday to you 
seoyeonmaina,"(19/04) Happy 35th birthday, our Super Junior M Zhoumi Gege! ELF love you very much! #Warriors Of The Moon #16factions #WOTMBirthday #SuperJuniorM #Zhoumi #HappyZhoumiDay #ELF https://www.instagram.com/p/B_JZkY0pj5s/?igshid=16egcfvm6mb1j"
LeighAnnArroyo5,"@SamRobertsWX I got this bag delivered to me for my 35th birthday today with household items. I can know say I have a reusable""Doppler"" bag!!! I'm so happy!! "
TReese82,APR.23 B-DAYS:Happy 35th Birthday to Pop Singer Taio Cruz!
FKLDesigns,"Been supporting her big head for too damn long! Who’s going to take her off my hands?! Happy 35th Birthday! #happy #35 #birthday @akilahlaster @Milwaukee, Wisconsin https://www.instagram.com/p/B_I1fs0HrQH/?igshid=1rvx8jnrgt8mn"
SALaghari1,Many many happy returns of the day on your 35th birthday 
GizmoRulz_,Happy 35th Birthday!!!!!!!!!!!! @AlldayJet
BretMalkowski,"@realjoeyfatone shot in the dark here. My wife's 35th birthday is tomorrow, and she was, and still is a huge fan of N'Sync, with you being her favorite. Wondering if you could wish her a Happy Birthday. Her name is Dawn."
DavidBflower,Happy 35th. The current situation makes for a memorable birthday 
LeighAnnArroyo5,@jeffdunham Happy birthday fellow 4/18 birthday person. It's my 35th today!
BGoldsboroMusic,"Happy Birthday, Dianne Goldsboro! Bobby &amp; Dianne celebrated their 35th wedding anniversary last week. "
songsteven2,Happy Belated 35th Birthday! Ms. #RooneyMara Hope you had a dandy day. Stay healthy.
LeighAnnArroyo5,Happy birthday to my fellow April 18th celebs @EricRoberts @MelodyThomasSco It's my 35th birthday today !!!!
FKLDesigns,Psst...wake up Kiki. It’s time to turn up for your 35th Birthday...Miami-style! Your favorite song in the bio! #turnup #turnup #throwback #miami #style #happy #35 #birthday #happybirthday https://www.instagram.com/p/B_IOCbsnIrw/?igshid=1wnegfr7jjsm2
Kurosaki_Kris,@yoarxz 35th Happy Birthday arxz 
Rockstarsimone,Happy Happy 35th Birthday to my Meggy!!! You’re the sweetest most loving person who makes everyone feel like family. I’m so lucky to get to call you my sister!! I hope this year is full… https://www.instagram.com/p/B_IBqHpHRwcn1t1xs4wSLZrfiP0YP8Q4AOibSA0/?igshid=1javrqcriq5hy
Roughguide1960,"Same here. I had been planning drawing down some this year for a special event double, my sixtieth birthday and our 35th anniversary. Now I'm just happy to still have a job."
AllyRaeven, HAPPY BIRTHDAY REX This man wanted to celebrate his 35th birthday by having me smash a cupcake in his face for every sub....we're only 15 minutes into stream http://twitch.tv/reckless_ex
Noviyan_day,Happy Birthday @HokBen 35th !! 
UncleAfeni,Happy 35th birthday sir 
COYIrons_com," Happy 35th Birthday, @LukaszFabianski #WHUFC"
WHUFC_News_6,"Happy 35th Birthday to our No.1, Lukasz Fabianski. Best goalkeeper we've had at the club for a while! #WHUFC #COYI"
hammers_social,Happy 35th birthday to the Polish Shilton @LukaszFabianski
BroadcastMoose,Happy 35th Birthday @WestHam goalkeeper @LukaszFabianski have a great day my friend
Pork_Nocker,Today would have been the 35th birthday of my beloved friend Vanessa St Hill. She suddenly passed away last November. It's sad not being able to wish her happy birthday or get her a present.
Regiphet,Happy 35th birthday Sir @Pretty_Bwoi 
thenaijaimgdoc,"Happy 35th Birthday to me. I am very grateful to God for a new year of my life especially in these uncertain times. I know I don’t say it to myself a lot but I will say it now “Obinna, I am proud of you”. I have grown from a little boy playing to a Man (Husband&amp;Father of 2) "
mnralphie,Happy 35th Birthday to Rooney Mara! #RooneyMara
snak_pak,"Happy 35th birthday asantan07 Meeting you was one of the most wonderful things that has happened to me in my life. (Honestly, you chased me for 5 months and I hope it was worth it! ) I… https://www.instagram.com/p/B_G6ZoWDahZQnGQYvYiBm-UD_AIGE_rIF5Qj2g0/?igshid=i19303echk1f"
mohdaamir85,"Today is my 35th birthday, and I’m ready for new adventures of this new year of life. I want to wish myself to spend this year in beautiful places with my beloved people. I wish myself never to miss bright moments of life, and never lose the days in sadness. Happy birthday to me. "
emi_veggie,Happy 35th Birthday Rooney Mara! &amp; Joaquin Phoenix Photo: Greg Williams #veganburger #Vegan
dichvuuudam,35th Happy Birthday Quarantined 2020 Gift Shirt https://ddteeshirt.com/hot-trend/35th-happy-birthday-quarantined-2020-gift-shirt/
FamousBirthdays,Wishing a Happy 35th Birthday to @LukeMitchell__!
twangylady,Happy 35th Birthday to our beautiful &amp; precious babygirl!! You are the real deal. No pretense- fully lovin’ Jesus girl- strong minded and filled with BIG Faith! . Sensitive heart and you think- before you… https://www.instagram.com/p/B_GjDxMBDWH/?igshid=14x7z6elo92xr
PopHorrorNews,"Happy 35th birthday to Rooney Mara, star of URBAN LEGENDS: BLOODY MARY, A GHOST STORY, THE GIRL WITH THE DRAGON TATTOO, A NIGHTMARE ON ELM STREET (2010), and more! "
celiajlozada,"Happy birthday, Marah! I just celebrated my 35th birthday a week ago in Georgia, and we’re sheltering in place. I hope you have a WONDERFUL 10th birthday!!! "
Gunnersc0m,Happy 35th Birthday to @LukaszFabianski #AFC
JokerCritic,Happy 35th Birthday to Rooney Mara. 
